Rank,ReleaseYear,year,Movie_first,Movie_second,DomesticGross,WorldwideGross,movieId
2901,2012-09-28,2012,Pitch Perfect,NA,65001093,116044347,tt1981677
2902,1998-08-05,1998,Halloween,H2O,55041738,55041738,tt0120694
2903,2013-04-03,2013,Evil Dead,NA,54239856,97778356,tt1288558
2904,2004-08-27,2004,Jet Li's Hero,NA,53652140,177535958,"NA"
2905,2010-10-29,2010,Saw 3D,NA,45710178,133735284,tt1477076
2906,2015-02-20,2015,"McFarland, USA",NA,44480275,45707924,tt2097298
2907,2016-11-11,2016,Almost Christmas,NA,42065185,42493506,tt4649416
2908,2006-03-10,2006,The Hills Have Eyes,NA,41778863,70355813,tt0454841
2909,2019-07-11,2019,Crawl,NA,39014193,83488492,tt8364368
2910,2002-03-01,2002,40 Days and 40 Nights,NA,37939782,95092667,tt0243736
2911,2003-10-10,2003,Good Boy!,NA,37667746,45312217,tt0326900
2912,2007-01-26,2007,Smokin' Aces,NA,35662731,57263440,tt1148297
2913,1998-10-02,1998,A Night at the Roxbury,NA,30331165,30331165,tt0120770
2914,2011-03-04,2011,Beastly,NA,27865571,38028230,tt1152398
2915,2010-03-05,2010,Brooklyn's Finest,NA,27163593,39233233,tt5210194
2916,1982-07-09,1982,Tron,NA,26918576,26918576,tt0084827
2917,2010-08-20,2010,Lottery Ticket,NA,24719879,24719879,tt0979434
2918,2003-09-05,2003,Dickie Roberts,Former Child Star,22734486,23734486,tt0325258
2919,2006-03-31,2006,ATL,NA,21170563,21170563,tt0466856
2920,2001-08-24,2001,Summer Catch,NA,19693891,19693891,tt0234829
2921,1998-12-11,1998,A Simple Plan,NA,16316273,16316273,tt0120324
2922,2006-03-24,2006,Larry the Cable Guy,Health Inspector,15680099,15680099,tt0462395
2923,2002-11-27,2002,Wes Craven Presents,They,12840842,16140842,"NA"
2924,1999-10-01,1999,The Adventures of Elmo in Grouchland,NA,11634458,11634458,tt0159421
2925,1987-07-24,1987,Superman IV,The Quest for Peace,11227824,11227824,tt0094074
2926,1963-05-29,1963,55 Days at Peking,NA,10000000,10000000,tt0056800
2927,2009-06-05,2009,My Life in Ruins,NA,8677425,20477425,tt0865559
2928,2006-04-21,2006,American Dreamz,NA,7314027,16510971,tt0465142
2929,2008-01-25,2008,How She Move,NA,7070641,8607815,"NA"
